Cluster ID,confidence_score,Id,ln,dob,gn,fn,canonical_gn,canonical_ln,canonical_Id,canonical_fn,canonical_dob
38,,45,CLARK,09/06/45,M,JOHN,,,,,
18,0.5037796497,46,CLARK,09/02/45,M,RONALD,b'm',b'clark',b'46',b'ronald',b'09/02/45'
18,0.5037796497,47,CLARK,09/02/45,M,DONALD,b'm',b'clark',b'46',b'ronald',b'09/02/45'
19,0.7637224197,48,CLARK,16/12/44,M,JOHN,b'm',b'clark jr',b'48',b'john',b'16/12/44'
19,0.77740556,49,CLARK JR,16/12/44,M,JOHN,b'm',b'clark jr',b'48',b'john',b'16/12/44'
19,0.77740556,50,CLARK JR,16/12/44,M,JOHN,b'm',b'clark jr',b'48',b'john',b'16/12/44'
20,0.7910887003,51,MICHAELSON JR,16/12/44,M,JOHN,b'm',b'michaelson jr',b'51',b'john',b'16/12/44'
20,0.7910887003,52,MICHAELSON JR,16/12/44,M,JOHN,b'm',b'michaelson jr',b'51',b'john',b'16/12/44'
20,0.7910887003,53,MICHAELSON JR,16/12/44,M,JOHN,b'm',b'michaelson jr',b'51',b'john',b'16/12/44'
21,0.791089,54,MICHAELSON JR,24/04/40,M,JOHN,b'm',b'michaelson jr',b'54',b'john',b'24/04/40'
21,0.791089,55,MICHAELSON JR,24/04/40,M,JOHN,b'm',b'michaelson jr',b'54',b'john',b'24/04/40'
22,0.7910887003,56,MICHAELSON JR,24/06/39,M,JOHN,b'm',b'michaelson jr',b'56',b'john',b'24/06/39'
22,0.7910887003,57,MICHAELSON JR,24/06/39,M,JOHN,b'm',b'michaelson jr',b'56',b'john',b'24/06/39'
22,0.7910887003,58,MICHAELSON JR,24/06/39,M,JOHN,b'm',b'michaelson jr',b'56',b'john',b'24/06/39'
23,0.7910887003,59,MICHAELSON JR,24/06/39,M,JAMES,b'm',b'michaelson jr',b'59',b'james',b'24/06/39'
23,0.7910887003,60,MICHAELSON JR,24/06/39,M,JAMES,b'm',b'michaelson jr',b'59',b'james',b'24/06/39'
39,,61,MICHAELSON JR,24/06/39,M,JACK,,,,,
40,,62,MICHAELSON JR,09/06/39,M,JACK,,,,,
26,0.791089,63,LARSON JR,09/06/39,M,HAROLD,b'm',b'larson jr',b'63',b'harold',b'09/06/39'
26,0.791089,64,LARSON JR,09/06/39,M,HAROLD,b'm',b'larson jr',b'63',b'harold',b'09/06/39'
41,,65,MUSTAPHA JR,07/10/37,M,HAROLD,,,,,
42,,66,HOUGHTON JR,07/10/37,M,HAROLD,,,,,
0,0.7910887003,67,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,68,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,69,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,70,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,71,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,72,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,73,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,74,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
0,0.7910887003,75,MELVIN JR,07/10/37,M,HAROLD,b'm',b'melvin jr',b'70',b'harold',b'07/10/37'
4,0.7910887003,76,CHAVAS JR,07/10/37,M,HAROLD,b'm',b'chavas jr',b'76',b'harold',b'07/10/37'
4,0.7910887003,77,CHAVAS JR,07/10/37,M,HAROLD,b'm',b'chavas jr',b'76',b'harold',b'07/10/37'
4,0.7910887003,78,CHAVAS JR,07/10/37,M,HAROLD,b'm',b'chavas jr',b'76',b'harold',b'07/10/37'
4,0.7910887003,79,CHAVAS JR,07/10/37,M,HAROLD,b'm',b'chavas jr',b'76',b'harold',b'07/10/37'
6,0.791089,80,MICHAELSON JR,07/10/37,M,HAROLD,b'm',b'michaelson jr',b'80',b'harold',b'07/10/37'
6,0.791089,81,MICHAELSON JR,07/10/37,M,HAROLD,b'm',b'michaelson jr',b'80',b'harold',b'07/10/37'
43,,82,SMITH JR,07/10/37,M,HAROLD,,,,,
4,0.7910887003,83,CHAVAS JR,07/10/37,M,HAROLD,b'm',b'chavas jr',b'76',b'harold',b'07/10/37'
4,0.7910887003,84,CHAVAS JR,07/10/37,M,HAROLD,b'm',b'chavas jr',b'76',b'harold',b'07/10/37'
9,0.7910887003,85,FAGEN JR,07/10/37,M,HAROLD,b'm',b'fagen jr',b'85',b'harold',b'07/10/37'
9,0.7910887003,86,FAGEN JR,07/10/37,M,HAROLD,b'm',b'fagen jr',b'85',b'harold',b'07/10/37'
44,,87,FAGEN JR,07/10/37,M,GEORGE,,,,,
45,,88,GRIFFIN JR,07/10/37,M,DARH,,,,,
46,,89,GRIFFIN JR,10/07/37,M,DARL,,,,,
47,,90,GRIFFIN JR,07/05/37,M,DARL,,,,,
10,0.7910887003,91,GRIFFIN JR,07/05/37,M,CLIFFORD,b'm',b'griffin jr',b'91',b'clifford',b'07/05/37'
10,0.7910887003,92,GRIFFIN JR,07/05/37,M,CLIFFORD,b'm',b'griffin jr',b'91',b'clifford',b'07/05/37'
10,0.7910887003,93,GRIFFIN JR,07/05/37,M,CLIFFORD,b'm',b'griffin jr',b'91',b'clifford',b'07/05/37'
48,,94,GRIFFIN JR,07/05/37,M,CLARENCE,,,,,
24,0.7574459314,95,HANNA,24/11/34,M,ADDISON J,b'm',b'hanna',b'95',b'addison',b'24/11/34'
24,0.7486961186,96,HANNA,24/11/34,M,ADDISON JOHN,b'm',b'hanna',b'95',b'addison',b'24/11/34'
24,0.7709198892,97,HANNA,24/11/34,M,ADDISON,b'm',b'hanna',b'95',b'addison',b'24/11/34'
24,0.7709198892,98,HANNA,24/11/34,M,ADDISON,b'm',b'hanna',b'95',b'addison',b'24/11/34'
24,0.7709198892,99,HANNA,24/11/34,M,ADDISON,b'm',b'hanna',b'95',b'addison',b'24/11/34'
49,,100,GALETICH JR,15/10/32,M,ADDISON,,,,,
14,0.7662977576,101,FUNARO JONES,06/12/37,F,HARRIET,b'f',b'funaro j',b'101',b'harriet',b'06/12/37'
14,0.7703049481,102,FUNARO J,06/12/37,F,HARRIET,b'f',b'funaro j',b'101',b'harriet',b'06/12/37'
14,0.7658871114,103,FUNARO,06/12/37,F,HARRIET,b'f',b'funaro j',b'101',b'harriet',b'06/12/37'
